SMILES_BB,SMILES_0,SMILES_1,SMILES_2,SMILES_3,SMILES_4,SMILES_5,SMILES_6,SMILES_7,SMILES_8,SMILES_9
CC(CC([Hg])=O)C=C,CC(CC(NC(C)C([Hg])=O)=O)C=C,CCN(CCC([Hg])=O)C(CC(C)C=C)=O,CC(CC(NC1(COC1)C([Hg])=O)=O)C=C,CC(CC(N(CCC1)C1C([Hg])=O)=O)C=C,CC(CC(N(CC1)CCC1C([Hg])=O)=O)C=C,CC(CC(N(CCN(C)C1)C1C([Hg])=O)=O)C=C,CC(CC(N(CC([Hg])=O)c1ccc[o]1)=O)C=C,CC(CC(Nc(cc1)ccc1C([Hg])=O)=O)C=C,CC(CC(NC(Cc1ccccc1)C([Hg])=O)=O)C=C,CC(CC(NCc1cccc(CC([Hg])=O)c1)=O)C=C
CC(C)([C@H](CC([Hg])=O)C1)[C@@H]1C(C)=O,CC(C([Hg])=O)NC(C[C@H](C1)C(C)(C)[C@@H]1C(C)=O)=O,CCN(CCC([Hg])=O)C(C[C@H](C1)C(C)(C)[C@@H]1C(C)=O)=O,CC(C)([C@H](CC(NC1(COC1)C([Hg])=O)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(N(CCC1)C1C([Hg])=O)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(N(CC1)CCC1C([Hg])=O)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(N(CCN(C)C1)C1C([Hg])=O)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(N(CC([Hg])=O)c1ccc[o]1)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(Nc(cc1)ccc1C([Hg])=O)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(NC(Cc1ccccc1)C([Hg])=O)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(NCc1cccc(CC([Hg])=O)c1)=O)C1)[C@@H]1C(C)=O
CC(CCC([Hg])=O)=O,CC(C([Hg])=O)NC(CCC(C)=O)=O,CCN(CCC([Hg])=O)C(CCC(C)=O)=O,CC(CCC(NC1(COC1)C([Hg])=O)=O)=O,CC(CCC(N(CCC1)C1C([Hg])=O)=O)=O,CC(CCC(N(CC1)CCC1C([Hg])=O)=O)=O,CC(CCC(N(CCN(C)C1)C1C([Hg])=O)=O)=O,CC(CCC(N(CC([Hg])=O)c1ccc[o]1)=O)=O,CC(CCC(Nc(cc1)ccc1C([Hg])=O)=O)=O,CC(CCC(NC(Cc1ccccc1)C([Hg])=O)=O)=O,CC(CCC(NCc1cccc(CC([Hg])=O)c1)=O)=O
CCCCC([Hg])=O,CCCCC(NC(C)C([Hg])=O)=O,CCCCC(N(CC)CCC([Hg])=O)=O,CCCCC(NC1(COC1)C([Hg])=O)=O,CCCCC(N(CCC1)C1C([Hg])=O)=O,CCCCC(N(CC1)CCC1C([Hg])=O)=O,CCCCC(N(CCN(C)C1)C1C([Hg])=O)=O,CCCCC(N(CC([Hg])=O)c1ccc[o]1)=O,CCCCC(Nc(cc1)ccc1C([Hg])=O)=O,CCCCC(NC(Cc1ccccc1)C([Hg])=O)=O,CCCCC(NCc1cccc(CC([Hg])=O)c1)=O
C=CCCC([Hg])=O,CC(C([Hg])=O)NC(CCC=C)=O,CCN(CCC([Hg])=O)C(CCC=C)=O,C=CCCC(NC1(COC1)C([Hg])=O)=O,C=CCCC(N(CCC1)C1C([Hg])=O)=O,C=CCCC(N(CC1)CCC1C([Hg])=O)=O,CN(CC1)CC(C([Hg])=O)N1C(CCC=C)=O,C=CCCC(N(CC([Hg])=O)c1ccc[o]1)=O,C=CCCC(Nc(cc1)ccc1C([Hg])=O)=O,C=CCCC(NC(Cc1ccccc1)C([Hg])=O)=O,C=CCCC(NCc1cccc(CC([Hg])=O)c1)=O
CCOCCC([Hg])=O,CCOCCC(NC(C)C([Hg])=O)=O,CCN(CCC([Hg])=O)C(CCOCC)=O,CCOCCC(NC1(COC1)C([Hg])=O)=O,CCOCCC(N(CCC1)C1C([Hg])=O)=O,CCOCCC(N(CC1)CCC1C([Hg])=O)=O,CCOCCC(N(CCN(C)C1)C1C([Hg])=O)=O,CCOCCC(N(CC([Hg])=O)c1ccc[o]1)=O,CCOCCC(Nc(cc1)ccc1C([Hg])=O)=O,CCOCCC(NC(Cc1ccccc1)C([Hg])=O)=O,CCOCCC(NCc1cccc(CC([Hg])=O)c1)=O
OCC([Hg])=O,CC(C([Hg])=O)NC(CO)=O,CCN(CCC([Hg])=O)C(CO)=O,OCC(NC1(COC1)C([Hg])=O)=O,OCC(N(CCC1)C1C([Hg])=O)=O,OCC(N(CC1)CCC1C([Hg])=O)=O,CN(CC1)CC(C([Hg])=O)N1C(CO)=O,OCC(N(CC([Hg])=O)c1ccc[o]1)=O,OCC(Nc(cc1)ccc1C([Hg])=O)=O,OCC(NC(Cc1ccccc1)C([Hg])=O)=O,OCC(NCc1cccc(CC([Hg])=O)c1)=O
CC(C)c1ccc(CCC([Hg])=O)cc1,CC(C)c1ccc(CCC(NC(C)C([Hg])=O)=O)cc1,CCN(CCC([Hg])=O)C(CCc1ccc(C(C)C)cc1)=O,CC(C)c1ccc(CCC(NC2(COC2)C([Hg])=O)=O)cc1,CC(C)c1ccc(CCC(N(CCC2)C2C([Hg])=O)=O)cc1,CC(C)c1ccc(CCC(N(CC2)CCC2C([Hg])=O)=O)cc1,CC(C)c1ccc(CCC(N(CCN(C)C2)C2C([Hg])=O)=O)cc1,CC(C)c1ccc(CCC(N(CC([Hg])=O)c2ccc[o]2)=O)cc1,CC(C)c1ccc(CCC(Nc(cc2)ccc2C([Hg])=O)=O)cc1,CC(C)c1ccc(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,CC(C)c1ccc(CCC(NCc2cccc(CC([Hg])=O)c2)=O)cc1
Cc1cc(C)c(CCC([Hg])=O)cc1,CC(C([Hg])=O)NC(CCc1c(C)cc(C)cc1)=O,CCN(CCC([Hg])=O)C(CCc1c(C)cc(C)cc1)=O,Cc1cc(C)c(CCC(NC2(COC2)C([Hg])=O)=O)cc1,Cc1cc(C)c(CCC(N(CCC2)C2C([Hg])=O)=O)cc1,Cc1cc(C)c(CCC(N(CC2)CCC2C([Hg])=O)=O)cc1,Cc1cc(C)c(CCC(N(CCN(C)C2)C2C([Hg])=O)=O)cc1,Cc1cc(C)c(CCC(N(CC([Hg])=O)c2ccc[o]2)=O)cc1,Cc1cc(C)c(CCC(Nc(cc2)ccc2C([Hg])=O)=O)cc1,Cc1cc(C)c(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,Cc1cc(C)c(CCC(NCc2cccc(CC([Hg])=O)c2)=O)cc1
O=C(CNC(c1ccccc1)=O)[Hg],CC(C([Hg])=O)NC(CNC(c1ccccc1)=O)=O,CCN(CCC([Hg])=O)C(CNC(c1ccccc1)=O)=O,O=C(CNC(c1ccccc1)=O)NC1(COC1)C([Hg])=O,O=C(CNC(c1ccccc1)=O)N(CCC1)C1C([Hg])=O,O=C(CNC(c1ccccc1)=O)N(CC1)CCC1C([Hg])=O,CN(CC1)CC(C([Hg])=O)N1C(CNC(c1ccccc1)=O)=O,O=C(CNC(c1ccccc1)=O)N(CC([Hg])=O)c1ccc[o]1,O=C(CNC(c1ccccc1)=O)Nc(cc1)ccc1C([Hg])=O,O=C(CNC(c1ccccc1)=O)NC(Cc1ccccc1)C([Hg])=O,O=C(CNC(c1ccccc1)=O)NCc1cccc(CC([Hg])=O)c1
O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)[Hg],CC(C([Hg])=O)NC(C[C@H]1[C@H](CC2)C[C@H]2C1)=O,CCN(CCC([Hg])=O)C(C[C@H]1[C@H](CC2)C[C@H]2C1)=O,O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)NC1(COC1)C([Hg])=O,O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)N(CCC1)C1C([Hg])=O,O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)N(CC1)CCC1C([Hg])=O,CN(CC1)CC(C([Hg])=O)N1C(C[C@H]1[C@H](CC2)C[C@H]2C1)=O,O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)N(CC([Hg])=O)c1ccc[o]1,O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)Nc(cc1)ccc1C([Hg])=O,O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)NC(Cc1ccccc1)C([Hg])=O,O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)NCc1cccc(CC([Hg])=O)c1
Cc1cc(CC([Hg])=O)c(C)cc1,CC(C([Hg])=O)NC(Cc1c(C)ccc(C)c1)=O,CCN(CCC([Hg])=O)C(Cc1c(C)ccc(C)c1)=O,Cc1cc(CC(NC2(COC2)C([Hg])=O)=O)c(C)cc1,Cc1cc(CC(N(CCC2)C2C([Hg])=O)=O)c(C)cc1,Cc1cc(CC(N(CC2)CCC2C([Hg])=O)=O)c(C)cc1,Cc1cc(CC(N(CCN(C)C2)C2C([Hg])=O)=O)c(C)cc1,Cc1cc(CC(N(CC([Hg])=O)c2ccc[o]2)=O)c(C)cc1,Cc1cc(CC(Nc(cc2)ccc2C([Hg])=O)=O)c(C)cc1,Cc1cc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)c(C)cc1,Cc1cc(CC(NCc2cccc(CC([Hg])=O)c2)=O)c(C)cc1
Cc1c(CC([Hg])=O)cccc1,CC(C([Hg])=O)NC(Cc1c(C)cccc1)=O,CCN(CCC([Hg])=O)C(Cc1c(C)cccc1)=O,Cc1c(CC(NC2(COC2)C([Hg])=O)=O)cccc1,Cc1c(CC(N(CCC2)C2C([Hg])=O)=O)cccc1,Cc1c(CC(N(CC2)CCC2C([Hg])=O)=O)cccc1,Cc1c(CC(N(CCN(C)C2)C2C([Hg])=O)=O)cccc1,Cc1c(CC(N(CC([Hg])=O)c2ccc[o]2)=O)cccc1,Cc1c(CC(Nc(cc2)ccc2C([Hg])=O)=O)cccc1,Cc1c(CC(NC(Cc2ccccc2)C([Hg])=O)=O)cccc1,Cc1c(CC(NCc2cccc(CC([Hg])=O)c2)=O)cccc1
