ID,ECFP_L1,ECFP_L2,COAF_L1,COAF_L2
16341,CN(C)C(NCCCC(C(O)=O)NC(COc1cccc(Cl)c1Cl)=O)=O,CN(C)C(NCCCCNC(COc1cccc(Cl)c1Cl)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(COc(cccc1Cl)c1Cl)=O)=O,CN(C)C(NCCCCN(C(COc(cccc1Cl)c1Cl)=O)[Hg])=O
16342,CN(C)C(NCCCC(C(O)=O)NC(Cc(cccc1)c1F)=O)=O,CN(C)C(NCCCCNC(Cc(cccc1)c1F)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc(cccc1)c1F)=O)=O,CN(C)C(NCCCCN(C(Cc(cccc1)c1F)=O)[Hg])=O
16343,CN(C)C(NCCCC(C(O)=O)NC(Cc1cccc(F)c1F)=O)=O,CN(C)C(NCCCCNC(Cc1cccc(F)c1F)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc(cccc1F)c1F)=O)=O,CN(C)C(NCCCCN(C(Cc(cccc1F)c1F)=O)[Hg])=O
16344,CC(NC(CCCNC(N(C)C)=O)C(O)=O)=O,CC(NCCCCNC(N(C)C)=O)=O,CC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O,CC(N(CCCCNC(N(C)C)=O)[Hg])=O
16345,CN(C)C(NCCCC(C(O)=O)NC(CCNC(N)=O)=O)=O,CN(C)C(NCCCCNC(CCNC(N)=O)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCNC(N)=O)=O)=O,CN(C)C(NCCCCN(C(CCNC(N)=O)=O)[Hg])=O
16346,CN(C)C(NCCCC(C(O)=O)NC(CCCc(cc1)cc2c1OCCO2)=O)=O,CN(C)C(NCCCCNC(CCCc(cc1)cc2c1OCCO2)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(CCCc(cc1)cc2c1OCCO2)=O)=O,CN(C)C(NCCCCN(C(CCCc(cc1)cc2c1OCCO2)=O)[Hg])=O
16347,CN(C)C(NCCCC(C(O)=O)NC(Cc1c[s]c2c1cccc2)=O)=O,CN(C)C(NCCCCNC(Cc1c[s]c2c1cccc2)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc1c[s]c2c1cccc2)=O)=O,CN(C)C(NCCCCN(C(Cc1c[s]c2c1cccc2)=O)[Hg])=O
16348,Cc1c(CC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)nc(-c2ccccc2)[o]1,Cc1c(CC(NCCCCNC(N(C)C)=O)=O)nc(-c2ccccc2)[o]1,Cc1c(CC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)nc(-c2ccccc2)[o]1,Cc1c(CC(N(CCCCNC(N(C)C)=O)[Hg])=O)nc(-c2ccccc2)[o]1
16349,CN(C)C(NCCCC(C(O)=O)NC(COc(cc1)cc(O2)c1C=CC2=O)=O)=O,CN(C)C(NCCCCNC(COc(cc1)cc(O2)c1C=CC2=O)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(COc(cc1)cc(O2)c1C=CC2=O)=O)=O,CN(C)C(NCCCCN(C(COc(cc1)cc(O2)c1C=CC2=O)=O)[Hg])=O
16350,CN(C)C(NCCCC(C(O)=O)NC(Cc1c[o]c2c1cccc2)=O)=O,CN(C)C(NCCCCNC(Cc1c[o]c2c1cccc2)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc1c[o]c2c1cccc2)=O)=O,CN(C)C(NCCCCN(C(Cc1c[o]c2c1cccc2)=O)[Hg])=O
16351,CN(C)C(NCCCC(C(O)=O)NC(Cc(cc1)ccc1OC)=O)=O,CN(C)C(NCCCCNC(Cc(cc1)ccc1OC)=O)=O,CN(C)C(NCCCC(C([Hg])=O)NC(Cc(cc1)ccc1OC)=O)=O,CN(C)C(NCCCCN(C(Cc(cc1)ccc1OC)=O)[Hg])=O
16352,CCOc1ccc(CC(NC(CCCNC(N(C)C)=O)C(O)=O)=O)cc1,CCOc1ccc(CC(NCCCCNC(N(C)C)=O)=O)cc1,CCOc1ccc(CC(NC(CCCNC(N(C)C)=O)C([Hg])=O)=O)cc1,CCOc1ccc(CC(N(CCCCNC(N(C)C)=O)[Hg])=O)cc1
