ID,ECFP_L1,ECFP_L2,COAF_L1,COAF_L2
0,CC(C)CC(NC(Cc1ccccc1)C(O)=O)=O,CC(C)CC(NCCc1ccccc1)=O,CC(C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(C)CC(N(CCc1ccccc1)[Hg])=O
1,CC/C=C\CC(NC(Cc1ccccc1)C(O)=O)=O,CC/C=C\CC(NCCc1ccccc1)=O,CC/C=C\CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC/C=C\CC(N(CCc1ccccc1)[Hg])=O
2,CCC(C)CC(NC(Cc1ccccc1)C(O)=O)=O,CCC(C)CC(NCCc1ccccc1)=O,CCC(C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CCC(C)CC(N(CCc1ccccc1)[Hg])=O
3,CC(C)CCC(NC(Cc1ccccc1)C(O)=O)=O,CC(C)CCC(NCCc1ccccc1)=O,CC(C)CCC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(C)CCC(N(CCc1ccccc1)[Hg])=O
4,OC(C(Cc1ccccc1)NC(CC1CCCC1)=O)=O,O=C(CC1CCCC1)NCCc1ccccc1,O=C(CC1CCCC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CC1CCCC1)N(CCc1ccccc1)[Hg]
5,OC(C(Cc1ccccc1)NC(CCC1CCCC1)=O)=O,O=C(CCC1CCCC1)NCCc1ccccc1,O=C(CCC1CCCC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCC1CCCC1)N(CCc1ccccc1)[Hg]
6,OC(C(Cc1ccccc1)NC(CC1CCCCC1)=O)=O,O=C(CC1CCCCC1)NCCc1ccccc1,O=C(CC1CCCCC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CC1CCCCC1)N(CCc1ccccc1)[Hg]
7,CC(C)(C)CC(NC(Cc1ccccc1)C(O)=O)=O,CC(C)(C)CC(NCCc1ccccc1)=O,CC(C)(C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(C)(C)CC(N(CCc1ccccc1)[Hg])=O
8,CC(CC(C)(C)C)CC(NC(Cc1ccccc1)C(O)=O)=O,CC(CC(C)(C)C)CC(NCCc1ccccc1)=O,CC(CC(C)(C)C)CC(NC(Cc1ccccc1)C([Hg])=O)=O,CC(CC(C)(C)C)CC(N(CCc1ccccc1)[Hg])=O
9,OC(C(Cc1ccccc1)NC(Cc(cccc1)c1OC(F)(F)F)=O)=O,O=C(Cc(cccc1)c1OC(F)(F)F)NCCc1ccccc1,O=C(Cc(cccc1)c1OC(F)(F)F)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cccc1)c1OC(F)(F)F)N(CCc1ccccc1)[Hg]
10,CC(CC(NC(Cc1ccccc1)C(O)=O)=O)C=C,CC(CC(NCCc1ccccc1)=O)C=C,CC(CC(NC(Cc1ccccc1)C([Hg])=O)=O)C=C,CC(CC(N(CCc1ccccc1)[Hg])=O)C=C
11,CC(C)([C@H](CC(NC(Cc1ccccc1)C(O)=O)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(NCCc1ccccc1)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(NC(Cc1ccccc1)C([Hg])=O)=O)C1)[C@@H]1C(C)=O,CC(C)([C@H](CC(N(CCc1ccccc1)[Hg])=O)C1)[C@@H]1C(C)=O
12,CC(CCC(NC(Cc1ccccc1)C(O)=O)=O)=O,CC(CCC(NCCc1ccccc1)=O)=O,CC(CCC(NC(Cc1ccccc1)C([Hg])=O)=O)=O,CC(CCC(N(CCc1ccccc1)[Hg])=O)=O
13,CCCCC(NC(Cc1ccccc1)C(O)=O)=O,CCCCC(NCCc1ccccc1)=O,CCCCC(NC(Cc1ccccc1)C([Hg])=O)=O,CCCCC(N(CCc1ccccc1)[Hg])=O
14,C=CCCC(NC(Cc1ccccc1)C(O)=O)=O,C=CCCC(NCCc1ccccc1)=O,C=CCCC(NC(Cc1ccccc1)C([Hg])=O)=O,C=CCCC(N(CCc1ccccc1)[Hg])=O
15,CCOCCC(NC(Cc1ccccc1)C(O)=O)=O,CCOCCC(NCCc1ccccc1)=O,CCOCCC(NC(Cc1ccccc1)C([Hg])=O)=O,CCOCCC(N(CCc1ccccc1)[Hg])=O
16,OCC(NC(Cc1ccccc1)C(O)=O)=O,OCC(NCCc1ccccc1)=O,OCC(NC(Cc1ccccc1)C([Hg])=O)=O,OCC(N(CCc1ccccc1)[Hg])=O
17,CC(C)c1ccc(CCC(NC(Cc2ccccc2)C(O)=O)=O)cc1,CC(C)c1ccc(CCC(NCCc2ccccc2)=O)cc1,CC(C)c1ccc(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,CC(C)c1ccc(CCC(N(CCc2ccccc2)[Hg])=O)cc1
18,Cc1cc(C)c(CCC(NC(Cc2ccccc2)C(O)=O)=O)cc1,Cc1cc(C)c(CCC(NCCc2ccccc2)=O)cc1,Cc1cc(C)c(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,Cc1cc(C)c(CCC(N(CCc2ccccc2)[Hg])=O)cc1
19,OC(C(Cc1ccccc1)NC(CNC(c1ccccc1)=O)=O)=O,O=C(CNC(c1ccccc1)=O)NCCc1ccccc1,O=C(CNC(c1ccccc1)=O)NC(Cc1ccccc1)C([Hg])=O,O=C(CNC(c1ccccc1)=O)N(CCc1ccccc1)[Hg]
20,OC(C(Cc1ccccc1)NC(C[C@H]1[C@H](CC2)C[C@H]2C1)=O)=O,O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)NCCc1ccccc1,O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)NC(Cc1ccccc1)C([Hg])=O,O=C(C[C@H]1[C@H](CC2)C[C@H]2C1)N(CCc1ccccc1)[Hg]
21,Cc1cc(CC(NC(Cc2ccccc2)C(O)=O)=O)c(C)cc1,Cc1cc(CC(NCCc2ccccc2)=O)c(C)cc1,Cc1cc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)c(C)cc1,Cc1cc(CC(N(CCc2ccccc2)[Hg])=O)c(C)cc1
22,Cc1c(CC(NC(Cc2ccccc2)C(O)=O)=O)cccc1,Cc1c(CC(NCCc2ccccc2)=O)cccc1,Cc1c(CC(NC(Cc2ccccc2)C([Hg])=O)=O)cccc1,Cc1c(CC(N(CCc2ccccc2)[Hg])=O)cccc1
23,Cc1ccc(CC(NC(Cc2ccccc2)C(O)=O)=O)cc1,Cc1ccc(CC(NCCc2ccccc2)=O)cc1,Cc1ccc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,Cc1ccc(CC(N(CCc2ccccc2)[Hg])=O)cc1
24,Cc1cccc(CC(NC(Cc2ccccc2)C(O)=O)=O)c1,Cc1cccc(CC(NCCc2ccccc2)=O)c1,Cc1cccc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)c1,Cc1cccc(CC(N(CCc2ccccc2)[Hg])=O)c1
25,OC(C(Cc1ccccc1)NC(CCc1ccccc1)=O)=O,O=C(CCc1ccccc1)NCCc1ccccc1,O=C(CCc1ccccc1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCc1ccccc1)N(CCc1ccccc1)[Hg]
26,Cc(cc1)ccc1S(NCC(NC(Cc1ccccc1)C(O)=O)=O)(=O)=O,Cc(cc1)ccc1S(NCC(NCCc1ccccc1)=O)(=O)=O,Cc(cc1)ccc1S(NCC(NC(Cc1ccccc1)C([Hg])=O)=O)(=O)=O,Cc(cc1)ccc1S(NCC(N(CCc1ccccc1)[Hg])=O)(=O)=O
27,OC(C(Cc1ccccc1)NC(C/C=C/c1ccccc1)=O)=O,O=C(C/C=C/c1ccccc1)NCCc1ccccc1,O=C(C/C=C/c1ccccc1)NC(Cc1ccccc1)C([Hg])=O,O=C(C/C=C/c1ccccc1)N(CCc1ccccc1)[Hg]
28,OC(C(Cc1ccccc1)NC(CCOc1ccccc1)=O)=O,O=C(CCOc1ccccc1)NCCc1ccccc1,O=C(CCOc1ccccc1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCOc1ccccc1)N(CCc1ccccc1)[Hg]
29,CN(CC(NC(Cc1ccccc1)C(O)=O)=O)C(c1ccccc1)=O,CN(CC(NCCc1ccccc1)=O)C(c1ccccc1)=O,CN(CC(NC(Cc1ccccc1)C([Hg])=O)=O)C(c1ccccc1)=O,CN(CC(N(CCc1ccccc1)[Hg])=O)C(c1ccccc1)=O
30,Cc(cc1)ccc1SCC(NC(Cc1ccccc1)C(O)=O)=O,Cc(cc1)ccc1SCC(NCCc1ccccc1)=O,Cc(cc1)ccc1SCC(NC(Cc1ccccc1)C([Hg])=O)=O,Cc(cc1)ccc1SCC(N(CCc1ccccc1)[Hg])=O
31,O[C@H](CC(NC(Cc1ccccc1)C(O)=O)=O)c1ccccc1,O[C@H](CC(NCCc1ccccc1)=O)c1ccccc1,O[C@H](CC(NC(Cc1ccccc1)C([Hg])=O)=O)c1ccccc1,O[C@H](CC(N(CCc1ccccc1)[Hg])=O)c1ccccc1
32,CN(C)c1ccc(CC(NC(Cc2ccccc2)C(O)=O)=O)cc1,CN(C)c1ccc(CC(NCCc2ccccc2)=O)cc1,CN(C)c1ccc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,CN(C)c1ccc(CC(N(CCc2ccccc2)[Hg])=O)cc1
33,COc1c(CC(NC(Cc2ccccc2)C(O)=O)=O)cccc1,COc1c(CC(NCCc2ccccc2)=O)cccc1,COc1c(CC(NC(Cc2ccccc2)C([Hg])=O)=O)cccc1,COc1c(CC(N(CCc2ccccc2)[Hg])=O)cccc1
34,COc(cc1)cc(CCC(NC(Cc2ccccc2)C(O)=O)=O)c1OC,COc(cc1)cc(CCC(NCCc2ccccc2)=O)c1OC,COc(cc1)cc(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)c1OC,COc(cc1)cc(CCC(N(CCc2ccccc2)[Hg])=O)c1OC
35,COc1cc(OC)c(CCC(NC(Cc2ccccc2)C(O)=O)=O)cc1,COc1cc(OC)c(CCC(NCCc2ccccc2)=O)cc1,COc1cc(OC)c(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,COc1cc(OC)c(CCC(N(CCc2ccccc2)[Hg])=O)cc1
36,OC(C(Cc1ccccc1)NC(CCc1ccc[o]1)=O)=O,O=C(CCc1ccc[o]1)NCCc1ccccc1,O=C(CCc1ccc[o]1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCc1ccc[o]1)N(CCc1ccccc1)[Hg]
37,COc1cccc(CCC(NC(Cc2ccccc2)C(O)=O)=O)c1OC,COc1cccc(CCC(NCCc2ccccc2)=O)c1OC,COc1cccc(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)c1OC,COc1cccc(CCC(N(CCc2ccccc2)[Hg])=O)c1OC
38,Cc(cccc1)c1OCC(NC(Cc1ccccc1)C(O)=O)=O,Cc(cccc1)c1OCC(NCCc1ccccc1)=O,Cc(cccc1)c1OCC(NC(Cc1ccccc1)C([Hg])=O)=O,Cc(cccc1)c1OCC(N(CCc1ccccc1)[Hg])=O
39,Cc(cccc1)c1C(NCC(NC(Cc1ccccc1)C(O)=O)=O)=O,Cc(cccc1)c1C(NCC(NCCc1ccccc1)=O)=O,Cc(cccc1)c1C(NCC(NC(Cc1ccccc1)C([Hg])=O)=O)=O,Cc(cccc1)c1C(NCC(N(CCc1ccccc1)[Hg])=O)=O
40,Cc1cccc(C(NCC(NC(Cc2ccccc2)C(O)=O)=O)=O)c1,Cc1cccc(C(NCC(NCCc2ccccc2)=O)=O)c1,Cc1cccc(C(NCC(NC(Cc2ccccc2)C([Hg])=O)=O)=O)c1,Cc1cccc(C(NCC(N(CCc2ccccc2)[Hg])=O)=O)c1
41,Cc(cc1)ccc1C(NCC(NC(Cc1ccccc1)C(O)=O)=O)=O,Cc(cc1)ccc1C(NCC(NCCc1ccccc1)=O)=O,Cc(cc1)ccc1C(NCC(NC(Cc1ccccc1)C([Hg])=O)=O)=O,Cc(cc1)ccc1C(NCC(N(CCc1ccccc1)[Hg])=O)=O
42,CC(c(cc1)ccc1OCC(NC(Cc1ccccc1)C(O)=O)=O)=O,CC(c(cc1)ccc1OCC(NCCc1ccccc1)=O)=O,CC(c(cc1)ccc1OCC(NC(Cc1ccccc1)C([Hg])=O)=O)=O,CC(c(cc1)ccc1OCC(N(CCc1ccccc1)[Hg])=O)=O
43,CC(CC(NC(Cc1ccccc1)C(O)=O)=O)(C(F)(F)F)O,CC(CC(NCCc1ccccc1)=O)(C(F)(F)F)O,CC(CC(NC(Cc1ccccc1)C([Hg])=O)=O)(C(F)(F)F)O,CC(CC(N(CCc1ccccc1)[Hg])=O)(C(F)(F)F)O
44,OC(C(Cc1ccccc1)NC(CCNC(c1ccccc1)=O)=O)=O,O=C(CCNC(c1ccccc1)=O)NCCc1ccccc1,O=C(CCNC(c1ccccc1)=O)NC(Cc1ccccc1)C([Hg])=O,O=C(CCNC(c1ccccc1)=O)N(CCc1ccccc1)[Hg]
45,OCc1ccc(CC(NC(Cc2ccccc2)C(O)=O)=O)cc1,OCc1ccc(CC(NCCc2ccccc2)=O)cc1,OCc1ccc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,OCc1ccc(CC(N(CCc2ccccc2)[Hg])=O)cc1
46,OC(C(Cc1ccccc1)NC(Cc(cc1)cc2c1OCO2)=O)=O,O=C(Cc(cc1)cc2c1OCO2)NCCc1ccccc1,O=C(Cc(cc1)cc2c1OCO2)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cc1)cc2c1OCO2)N(CCc1ccccc1)[Hg]
47,COc(cc(CC(NC(Cc1ccccc1)C(O)=O)=O)cc1)c1O,COc(cc(CC(NCCc1ccccc1)=O)cc1)c1O,COc(cc(CC(NC(Cc1ccccc1)C([Hg])=O)=O)cc1)c1O,COc(cc(CC(N(CCc1ccccc1)[Hg])=O)cc1)c1O
48,COc(cc1)cc(CC(NC(Cc2ccccc2)C(O)=O)=O)c1OC,COc(cc1)cc(CC(NCCc2ccccc2)=O)c1OC,COc(cc1)cc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)c1OC,COc(cc1)cc(CC(N(CCc2ccccc2)[Hg])=O)c1OC
49,COc1cccc(CC(NC(Cc2ccccc2)C(O)=O)=O)c1OC,COc1cccc(CC(NCCc2ccccc2)=O)c1OC,COc1cccc(CC(NC(Cc2ccccc2)C([Hg])=O)=O)c1OC,COc1cccc(CC(N(CCc2ccccc2)[Hg])=O)c1OC
50,OC(C(Cc1ccccc1)NC(CCc(cc1)cc2c1OCC2)=O)=O,O=C(CCc(cc1)cc2c1OCC2)NCCc1ccccc1,O=C(CCc(cc1)cc2c1OCC2)NC(Cc1ccccc1)C([Hg])=O,O=C(CCc(cc1)cc2c1OCC2)N(CCc1ccccc1)[Hg]
51,COc(cccc1CCC(NC(Cc2ccccc2)C(O)=O)=O)c1Cl,COc(cccc1CCC(NCCc2ccccc2)=O)c1Cl,COc1cccc(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)c1Cl,COc1cccc(CCC(N(CCc2ccccc2)[Hg])=O)c1Cl
52,COc(ccc(CCC(NC(Cc1ccccc1)C(O)=O)=O)c1)c1Cl,COc(ccc(CCC(NCCc1ccccc1)=O)c1)c1Cl,COc(ccc(CCC(NC(Cc1ccccc1)C([Hg])=O)=O)c1)c1Cl,COc(ccc(CCC(N(CCc1ccccc1)[Hg])=O)c1)c1Cl
53,COc(cccc1)c1OCC(NC(Cc1ccccc1)C(O)=O)=O,COc(cccc1)c1OCC(NCCc1ccccc1)=O,COc(cccc1)c1OCC(NC(Cc1ccccc1)C([Hg])=O)=O,COc(cccc1)c1OCC(N(CCc1ccccc1)[Hg])=O
54,COc(cc1)cc(C(CCC(NC(Cc2ccccc2)C(O)=O)=O)=O)c1OC,COc(cc1)cc(C(CCC(NCCc2ccccc2)=O)=O)c1OC,COc(cc1)cc(C(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)=O)c1OC,COc(cc1)cc(C(CCC(N(CCc2ccccc2)[Hg])=O)=O)c1OC
55,OC(C(Cc1ccccc1)NC(CCCC1CCCCC1)=O)=O,O=C(CCCC1CCCCC1)NCCc1ccccc1,O=C(CCCC1CCCCC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCCC1CCCCC1)N(CCc1ccccc1)[Hg]
56,OC(C(Cc1ccccc1)NC(Cc(cc1)cc(C(F)(F)F)c1F)=O)=O,O=C(Cc(cc1)cc(C(F)(F)F)c1F)NCCc1ccccc1,O=C(Cc(cc1)cc(C(F)(F)F)c1F)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cc1)cc(C(F)(F)F)c1F)N(CCc1ccccc1)[Hg]
57,COc1cc(CCC(NC(Cc2ccccc2)C(O)=O)=O)cc(OC)c1OC,COc1cc(CCC(NCCc2ccccc2)=O)cc(OC)c1OC,COc1cc(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)cc(OC)c1OC,COc1cc(CCC(N(CCc2ccccc2)[Hg])=O)cc(OC)c1OC
58,OC(C(Cc1ccccc1)NC(Cc(c(F)ccc1)c1Cl)=O)=O,O=C(Cc(c(F)ccc1)c1Cl)NCCc1ccccc1,O=C(Cc(c(F)ccc1)c1Cl)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(c(F)ccc1)c1Cl)N(CCc1ccccc1)[Hg]
59,OC(C(Cc1ccccc1)NC(Cc(ccc(F)c1)c1Cl)=O)=O,O=C(Cc(ccc(F)c1)c1Cl)NCCc1ccccc1,O=C(Cc(ccc(F)c1)c1Cl)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(ccc(F)c1)c1Cl)N(CCc1ccccc1)[Hg]
60,OC(C(Cc1ccccc1)NC(CCc1ccc(C(F)(F)F)cc1)=O)=O,O=C(CCc1ccc(C(F)(F)F)cc1)NCCc1ccccc1,O=C(CCc1ccc(C(F)(F)F)cc1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCc1ccc(C(F)(F)F)cc1)N(CCc1ccccc1)[Hg]
61,COc1cc(F)c(CC(NC(Cc2ccccc2)C(O)=O)=O)cc1,COc1cc(F)c(CC(NCCc2ccccc2)=O)cc1,COc1cc(F)c(CC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1,COc1cc(F)c(CC(N(CCc2ccccc2)[Hg])=O)cc1
62,COc1nc(CCC(NC(Cc2ccccc2)C(O)=O)=O)nc(OC)c1,COc1nc(CCC(NCCc2ccccc2)=O)nc(OC)c1,COc1nc(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)nc(OC)c1,COc1nc(CCC(N(CCc2ccccc2)[Hg])=O)nc(OC)c1
63,OC(C(Cc1ccccc1)NC(CCc1cnccc1)=O)=O,O=C(CCc1cnccc1)NCCc1ccccc1,O=C(CCc1cnccc1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCc1cnccc1)N(CCc1ccccc1)[Hg]
64,C[C@H]([C@H](CCCCCC(NC(Cc1ccccc1)C(O)=O)=O)N1)NC1=O,C[C@H]([C@H](CCCCCC(NCCc1ccccc1)=O)N1)NC1=O,C[C@H]([C@H](CCCCCC(NC(Cc1ccccc1)C([Hg])=O)=O)N1)NC1=O,C[C@H]([C@H](CCCCCC(N(CCc1ccccc1)[Hg])=O)N1)NC1=O
65,OC(C(Cc1ccccc1)NC(CCCc(cc1)ccc1I)=O)=O,O=C(CCCc(cc1)ccc1I)NCCc1ccccc1,O=C(CCCc(cc1)ccc1I)NC(Cc1ccccc1)C([Hg])=O,O=C(CCCc(cc1)ccc1I)N(CCc1ccccc1)[Hg]
66,OC(C(Cc1ccccc1)NC(COc1ccccc1)=O)=O,O=C(COc1ccccc1)NCCc1ccccc1,O=C(COc1ccccc1)NC(Cc1ccccc1)C([Hg])=O,O=C(COc1ccccc1)N(CCc1ccccc1)[Hg]
67,OC(C(Cc1ccccc1)NC(CC1(C[C@H](C2)C3)C[C@H]3CC2C1)=O)=O,O=C(CC1(C[C@H](C2)C3)C[C@H]3CC2C1)NCCc1ccccc1,O=C(CC1(C[C@H](C2)C3)C[C@H]3CC2C1)NC(Cc1ccccc1)C([Hg])=O,O=C(CC1(C[C@H](C2)C3)C[C@H]3CC2C1)N(CCc1ccccc1)[Hg]
68,O[C@@]1(C[C@H](C2)C3)C[C@]3(CC(NC(Cc3ccccc3)C(O)=O)=O)C[C@H]2C1,O[C@@]1(C[C@H](C2)C3)C[C@]3(CC(NCCc3ccccc3)=O)C[C@H]2C1,O[C@@]1(C[C@H](C2)C3)C[C@]3(CC(NC(Cc3ccccc3)C([Hg])=O)=O)C[C@H]2C1,O[C@@]1(C[C@H](C2)C3)C[C@]3(CC(N(CCc3ccccc3)[Hg])=O)C[C@H]2C1
69,OC(C(Cc1ccccc1)NC(Cc(cc1F)cc(F)c1F)=O)=O,O=C(Cc(cc1F)cc(F)c1F)NCCc1ccccc1,O=C(Cc(cc1F)cc(F)c1F)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cc1F)cc(F)c1F)N(CCc1ccccc1)[Hg]
70,OC(C(Cc1ccccc1)NC(Cc(c(C(F)(F)F)ccc1)c1F)=O)=O,O=C(Cc(c(C(F)(F)F)ccc1)c1F)NCCc1ccccc1,O=C(Cc(c(C(F)(F)F)ccc1)c1F)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(c(C(F)(F)F)ccc1)c1F)N(CCc1ccccc1)[Hg]
71,[O-][N+](c(cc1)ccc1C(NCC(NC(Cc1ccccc1)C(O)=O)=O)=O)=O,[O-][N+](c(cc1)ccc1C(NCC(NCCc1ccccc1)=O)=O)=O,[O-][N+](c(cc1)ccc1C(NCC(NC(Cc1ccccc1)C([Hg])=O)=O)=O)=O,[O-][N+](c(cc1)ccc1C(NCC(N(CCc1ccccc1)[Hg])=O)=O)=O
72,[O-][N+](c(cc1)ccc1C(NCCC(NC(Cc1ccccc1)C(O)=O)=O)=O)=O,[O-][N+](c(cc1)ccc1C(NCCC(NCCc1ccccc1)=O)=O)=O,[O-][N+](c(cc1)ccc1C(NCCC(NC(Cc1ccccc1)C([Hg])=O)=O)=O)=O,[O-][N+](c(cc1)ccc1C(NCCC(N(CCc1ccccc1)[Hg])=O)=O)=O
73,OC(C(Cc1ccccc1)NC(CNC(OCc1ccccc1)=O)=O)=O,O=C(CNC(OCc1ccccc1)=O)NCCc1ccccc1,O=C(CNC(OCc1ccccc1)=O)NC(Cc1ccccc1)C([Hg])=O,O=C(CNC(OCc1ccccc1)=O)N(CCc1ccccc1)[Hg]
74,COc1cc(CCC(NC(Cc2ccccc2)C(O)=O)=O)cc(OC)c1,COc1cc(CCC(NCCc2ccccc2)=O)cc(OC)c1,COc1cc(CCC(NC(Cc2ccccc2)C([Hg])=O)=O)cc(OC)c1,COc1cc(CCC(N(CCc2ccccc2)[Hg])=O)cc(OC)c1
75,CCOc(cc(CC(NC(Cc1ccccc1)C(O)=O)=O)cc1)c1O,CCOc(cc(CC(NCCc1ccccc1)=O)cc1)c1O,CCOc(cc(CC(NC(Cc1ccccc1)C([Hg])=O)=O)cc1)c1O,CCOc(cc(CC(N(CCc1ccccc1)[Hg])=O)cc1)c1O
76,COc(cc1)cc(C(CC(NC(Cc2ccccc2)C(O)=O)=O)C2)c1C2=O,COc(cc1)cc(C(CC(NCCc2ccccc2)=O)C2)c1C2=O,COc(cc1)cc(C(CC(NC(Cc2ccccc2)C([Hg])=O)=O)C2)c1C2=O,COc(cc1)cc(C(CC(N(CCc2ccccc2)[Hg])=O)C2)c1C2=O
77,OC(C(Cc1ccccc1)NC(CCC1c(cccc2)c2NC1)=O)=O,O=C(CCC1c(cccc2)c2NC1)NCCc1ccccc1,O=C(CCC1c(cccc2)c2NC1)NC(Cc1ccccc1)C([Hg])=O,O=C(CCC1c(cccc2)c2NC1)N(CCc1ccccc1)[Hg]
78,OC(C(Cc1ccccc1)NC(Cc1c[s]c(cc2)c1cc2Cl)=O)=O,O=C(Cc1c[s]c(cc2)c1cc2Cl)NCCc1ccccc1,O=C(Cc1c[s]c(cc2)c1cc2Cl)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc1c[s]c(cc2)c1cc2Cl)N(CCc1ccccc1)[Hg]
79,COc(cc1)c(CC(NC(Cc2ccccc2)C(O)=O)=O)cc1Br,COc(cc1)c(CC(NCCc2ccccc2)=O)cc1Br,COc(cc1)c(CC(NC(Cc2ccccc2)C([Hg])=O)=O)cc1Br,COc(cc1)c(CC(N(CCc2ccccc2)[Hg])=O)cc1Br
80,OC(C(Cc1ccccc1)NC(Cc(cc1)cc(F)c1F)=O)=O,O=C(Cc(cc1)cc(F)c1F)NCCc1ccccc1,O=C(Cc(cc1)cc(F)c1F)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cc1)cc(F)c1F)N(CCc1ccccc1)[Hg]
81,OC(C(Cc1ccccc1)NC(Cc(cc1)cc(Cl)c1Cl)=O)=O,O=C(Cc(cc1)cc(Cl)c1Cl)NCCc1ccccc1,O=C(Cc(cc1)cc(Cl)c1Cl)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cc1)cc(Cl)c1Cl)N(CCc1ccccc1)[Hg]
82,OC(C(Cc1ccccc1)NC(CCN(c(cccc1)c1O1)C1=O)=O)=O,O=C(CCN(c(cccc1)c1O1)C1=O)NCCc1ccccc1,O=C(CCN(c(cccc1)c1O1)C1=O)NC(Cc1ccccc1)C([Hg])=O,O=C(CCN(c(cccc1)c1O1)C1=O)N(CCc1ccccc1)[Hg]
83,CC1=C(CC(NC(Cc2ccccc2)C(O)=O)=O)c(cc(cc2)F)c2/C\1=C\c(cc1)ccc1S(C)=O,CC1=C(CC(NCCc2ccccc2)=O)c(cc(cc2)F)c2/C\1=C\c(cc1)ccc1S(C)=O,CC1=C(CC(NC(Cc2ccccc2)C([Hg])=O)=O)c(cc(cc2)F)c2/C\1=C\c(cc1)ccc1S(C)=O,CC1=C(CC(N(CCc2ccccc2)[Hg])=O)c(cc(cc2)F)c2/C\1=C\c(cc1)ccc1S(C)=O
84,OC(C(Cc1ccccc1)NC(Cc(cc1)ccc1Oc1ccccc1)=O)=O,O=C(Cc(cc1)ccc1Oc1ccccc1)NCCc1ccccc1,O=C(Cc(cc1)ccc1Oc1ccccc1)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cc1)ccc1Oc1ccccc1)N(CCc1ccccc1)[Hg]
85,OC(C(Cc1ccccc1)NC(Cc(cc1)cnc1Cl)=O)=O,O=C(Cc(cc1)cnc1Cl)NCCc1ccccc1,O=C(Cc(cc1)cnc1Cl)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cc1)cnc1Cl)N(CCc1ccccc1)[Hg]
86,OC(C(Cc1ccccc1)NC(Cc(cccc1)c1Cl)=O)=O,O=C(Cc(cccc1)c1Cl)NCCc1ccccc1,O=C(Cc(cccc1)c1Cl)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc(cccc1)c1Cl)N(CCc1ccccc1)[Hg]
87,OC(C(Cc1ccccc1)NC(Cc1cccc(C(F)(F)F)c1)=O)=O,O=C(Cc1cccc(C(F)(F)F)c1)NCCc1ccccc1,O=C(Cc1cc(C(F)(F)F)ccc1)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc1cc(C(F)(F)F)ccc1)N(CCc1ccccc1)[Hg]
88,OC(C(Cc1ccccc1)NC(Cc1ccc(C(F)(F)F)cc1)=O)=O,O=C(Cc1ccc(C(F)(F)F)cc1)NCCc1ccccc1,O=C(Cc1ccc(C(F)(F)F)cc1)NC(Cc1ccccc1)C([Hg])=O,O=C(Cc1ccc(C(F)(F)F)cc1)N(CCc1ccccc1)[Hg]
