"Position","SMILES_Structure","SMILES_Scaffold"
"2","O=C(c1cc(nccc2)c2[nH]1)[Hg]","c1c[nH]c2cccnc12"
"6","O=C(c1ncc(cc[nH]2)c2c1)[Hg]","c1c[nH]c2c1cncc2"
"4","O=C(c1cccc2ncc[n]12)[Hg]","c1cnc2[n]1cccc2"
"2","O=C(c1nc(cccc2)c2[nH]1)[Hg]","c1nc(cccc2)c2[nH]1"
"2","O=C(c1cc(cncc2)c2[nH]1)[Hg]","c1c[nH]c2c1cncc2"
"2","O=C(c1c[n](cccc2)c2n1)[Hg]","c1cnc2[n]1cccc2"
"7","O=C(c1nccc2c1[nH]cc2)[Hg]","c1c[nH]c2c1ccnc2"
"5","O=C(c(cc1)cc2c1[nH]nc2)[Hg]","c1n[nH]c2c1cccc2"
"7","O=C(c1c2[nH]ccc2cnc1)[Hg]","c1c[nH]c2c1cncc2"
"3","O=C(c1c[nH]c2cccnc12)[Hg]","c1c[nH]c2cccnc12"
"5","O=C(c1cnc2[nH]ccc2c1)[Hg]","c1c[nH]c2ncccc12"
"5","O=C(c(cc1)c[n]2c1ncc2)[Hg]","c1cnc2[n]1cccc2"
"7","O=C(c1c2[nH]ccc2ncc1)[Hg]","c1c[nH]c2cccnc12"
"4","O=C(c1c2nc[nH]c2ccc1)[Hg]","c1nc(cccc2)c2[nH]1"
"7","O=C(c1c2[nH]cnc2ccc1)[Hg]","c1nc(cccc2)c2[nH]1"
"6","O=C(c1cnc(cc[nH]2)c2c1)[Hg]","c1c[nH]c2cccnc12"
"7","O=C(c1c2[nH]ncc2ccc1)[Hg]","c1n[nH]c2c1cccc2"
"7","O=C(c1ccc[n]2c1ncc2)[Hg]","c1cnc2[n]1cccc2"
"4","O=C(c1c(cc[nH]2)c2ncc1)[Hg]","c1c[nH]c2ncccc12"
"4","O=C(c1c(cn[nH]2)c2ccc1)[Hg]","c1n[nH]c2c1cccc2"
"3","Cc(cc1)cc2c1[o]cc2C([Hg])=O","Cc(cc1)cc2c1[o]cc2"
"3","Cc1cccc2c1[o]cc2C([Hg])=O","Cc1c2[o]ccc2ccc1"
"3","Cc(cc1)cc2c1c(C([Hg])=O)c[o]2","Cc1cc([o]cc2)c2cc1"
"3","Cc1c(c(C([Hg])=O)c[o]2)c2ccc1","Cc1cccc2c1cc[o]2"
"7","Cc1c(C([Hg])=O)c([o]cc2)c2cc1","Cc1cc([o]cc2)c2cc1"
"2","Cc1cc([o]c(C([Hg])=O)c2)c2cc1","Cc1cc([o]cc2)c2cc1"
"2","Cc1cccc2c1cc(C([Hg])=O)[o]2","Cc1cccc2c1cc[o]2"
"2","Cc(cc1)cc2c1[o]c(C([Hg])=O)c2","Cc(cc1)cc2c1[o]cc2"
"2","Cc1cccc2c1[o]c(C([Hg])=O)c2","Cc1c2[o]ccc2ccc1"
"6","Cc1c(cc[o]2)c2cc(C([Hg])=O)c1","Cc1cccc2c1cc[o]2"
"6","Cc(cc(cc[o]1)c1c1)c1C([Hg])=O","Cc(cc1)cc2c1[o]cc2"
"7","Cc1cc(C([Hg])=O)c2[o]ccc2c1","Cc(cc1)cc2c1[o]cc2"
"7","Cc(cc1)c(cc[o]2)c2c1C([Hg])=O","Cc1cccc2c1cc[o]2"
"4","Cc1cc(C([Hg])=O)c(cc[o]2)c2c1","Cc1cc([o]cc2)c2cc1"
"6","Cc(c([o]cc1)c1cc1)c1C([Hg])=O","Cc1c2[o]ccc2ccc1"
"4","Cc(cc1)c2[o]ccc2c1C([Hg])=O","Cc1c2[o]ccc2ccc1"
"5","Cc1c2[o]ccc2cc(C([Hg])=O)c1","Cc1c2[o]ccc2ccc1"
"5","Cc(cc1[o]ccc1c1)c1C([Hg])=O","Cc1cc([o]cc2)c2cc1"
"4","Cc(cc1)c(C([Hg])=O)c2c1[o]cc2","Cc(cc1)cc2c1[o]cc2"
"5","Cc(c1c(cc2)[o]cc1)c2C([Hg])=O","Cc1cccc2c1cc[o]2"
"3","Cc(cc1)cc2c1[s]cc2C([Hg])=O","Cc(cc1)cc2c1[s]cc2"
"3","Cc1cccc2c1[s]cc2C([Hg])=O","Cc1c2[s]ccc2ccc1"
"3","Cc(cc1)cc2c1c(C([Hg])=O)c[s]2","Cc1cc([s]cc2)c2cc1"
"3","Cc1c(c(C([Hg])=O)c[s]2)c2ccc1","Cc1cccc2c1cc[s]2"
"7","Cc1c(C([Hg])=O)c([s]cc2)c2cc1","Cc1cc([s]cc2)c2cc1"
"2","Cc1cc([s]c(C([Hg])=O)c2)c2cc1","Cc1cc([s]cc2)c2cc1"
"2","Cc1cccc2c1cc(C([Hg])=O)[s]2","Cc1cccc2c1cc[s]2"
"2","Cc(cc1)cc2c1[s]c(C([Hg])=O)c2","Cc(cc1)cc2c1[s]cc2"
"2","Cc1cccc2c1[s]c(C([Hg])=O)c2","Cc1c2[s]ccc2ccc1"
"6","Cc1c(cc[s]2)c2cc(C([Hg])=O)c1","Cc1cccc2c1cc[s]2"
"6","Cc(cc(cc[s]1)c1c1)c1C([Hg])=O","Cc(cc1)cc2c1[s]cc2"
"7","Cc1cc(C([Hg])=O)c2[s]ccc2c1","Cc(cc1)cc2c1[s]cc2"
"7","Cc(cc1)c(cc[s]2)c2c1C([Hg])=O","Cc1cccc2c1cc[s]2"
"4","Cc1cc(C([Hg])=O)c(cc[s]2)c2c1","Cc1cc([s]cc2)c2cc1"
"6","Cc(c([s]cc1)c1cc1)c1C([Hg])=O","Cc1c2[s]ccc2ccc1"
"4","Cc(cc1)c2[s]ccc2c1C([Hg])=O","Cc1c2[s]ccc2ccc1"
"5","Cc1c2[s]ccc2cc(C([Hg])=O)c1","Cc1c2[s]ccc2ccc1"
"5","Cc(cc1[s]ccc1c1)c1C([Hg])=O","Cc1cc([s]cc2)c2cc1"
"4","Cc(cc1)c(C([Hg])=O)c2c1[s]cc2","Cc(cc1)cc2c1[s]cc2"
"5","Cc(c1c(cc2)[s]cc1)c2C([Hg])=O","Cc1cccc2c1cc[s]2"
"6","O=C(c1cc([nH]c(Cl)c2)c2cc1)[Hg]","Clc1cc(cccc2)c2[nH]1"
"6","O=C(c(cc1)cc2c1c(Cl)c[nH]2)[Hg]","Clc1c[nH]c2c1cccc2"
"3","O=C(c1c[nH]c(cc2)c1cc2Cl)[Hg]","Clc(cc1)cc2c1[nH]cc2"
"3","O=C(c1c[nH]c2c1ccc(Cl)c2)[Hg]","Clc1cc([nH]cc2)c2cc1"
"7","O=C(c(c([nH]cc1)c1cc1)c1Cl)[Hg]","Clc1cc([nH]cc2)c2cc1"
"3","O=C(c1c[nH]c2cccc(Cl)c12)[Hg]","Clc1c(cc[nH]2)c2ccc1"
"3","O=C(c1c[nH]c2c1cccc2Cl)[Hg]","Clc1c2[nH]ccc2ccc1"
"2","O=C(c1cc(ccc(Cl)c2)c2[nH]1)[Hg]","Clc1cc([nH]cc2)c2cc1"
"2","O=C(c1cc(cc(cc2)Cl)c2[nH]1)[Hg]","Clc(cc1)cc2c1[nH]cc2"
"2","O=C(c1cc(cccc2Cl)c2[nH]1)[Hg]","Clc1c2[nH]ccc2ccc1"
"2","O=C(c1cc(c(Cl)ccc2)c2[nH]1)[Hg]","Clc1c(cc[nH]2)c2ccc1"
"2","O=C(c([nH]c1c2cccc1)c2Cl)[Hg]","Clc1c[nH]c2c1cccc2"
"6","O=C(c1cc(Cl)c(cc[nH]2)c2c1)[Hg]","Clc1c(cc[nH]2)c2ccc1"
"5","O=C(c(cc1)cc2c1[nH]c(Cl)c2)[Hg]","Clc1cc(cccc2)c2[nH]1"
"6","O=C(c(cc1[nH]ccc1c1)c1Cl)[Hg]","Clc(cc1)cc2c1[nH]cc2"
"5","O=C(c(cc1)cc2c1[nH]cc2Cl)[Hg]","Clc1c[nH]c2c1cccc2"
"7","O=C(c1c2[nH]ccc2cc(Cl)c1)[Hg]","Clc(cc1)cc2c1[nH]cc2"
"7","O=C(c1c2[nH]c(Cl)cc2ccc1)[Hg]","Clc1cc(cccc2)c2[nH]1"
"7","O=C(c(cc1)c2[nH]ccc2c1Cl)[Hg]","Clc1c(cc[nH]2)c2ccc1"
"7","O=C(c(cccc12)c1[nH]cc2Cl)[Hg]","Clc1c[nH]c2c1cccc2"
"4","O=C(c1c(cc[nH]2)c2cc(Cl)c1)[Hg]","Clc1cc([nH]cc2)c2cc1"
"4","O=C(c(cc1)c(cc[nH]2)c2c1Cl)[Hg]","Clc1c2[nH]ccc2ccc1"
"4","O=C(c1c(cc([nH]2)Cl)c2ccc1)[Hg]","Clc1cc(cccc2)c2[nH]1"
"6","O=C(c(ccc1c2[nH]cc1)c2Cl)[Hg]","Clc1c2[nH]ccc2ccc1"
"4","O=C(c1c(c(Cl)c[nH]2)c2ccc1)[Hg]","Clc1c[nH]c2c1cccc2"
"5","O=C(c1cc(Cl)c2[nH]ccc2c1)[Hg]","Clc1c2[nH]ccc2ccc1"
"4","O=C(c(c1c(cc2)[nH]cc1)c2Cl)[Hg]","Clc(cc1)cc2c1[nH]cc2"
"5","O=C(c(cc(cc[nH]1)c1c1)c1Cl)[Hg]","Clc1cc([nH]cc2)c2cc1"
"5","O=C(c(ccc1c2cc[nH]1)c2Cl)[Hg]","Clc1c(cc[nH]2)c2ccc1"
"3","O=C(c(c(cccc1)c1[nH]1)c1Cl)[Hg]","Clc1cc(cccc2)c2[nH]1"
"6","C[n](cc1)c2c1ccc(C([Hg])=O)c2","C[n](cc1)c2c1cccc2"
"7","C[n](ccc1ccc2)c1c2C([Hg])=O","C[n](cc1)c2c1cccc2"
"3","C[n]1c(cccc2)c2c(C([Hg])=O)c1","C[n](cc1)c2c1cccc2"
"3","Cc(cc1)cc2c1[nH]cc2C([Hg])=O","Cc(cc1)cc2c1[nH]cc2"
"3","Cc1cccc2c1[nH]cc2C([Hg])=O","Cc1c2[nH]ccc2ccc1"
"3","Cc(cc1)cc2c1c(C([Hg])=O)c[nH]2","Cc1cc([nH]cc2)c2cc1"
